Text, Accurate Emojis, Suitable Emojis
"Yay...thunderstorm = hail cannon time 😕", T, 0 0 1 0
"Can we have a standing ovation please for the outside influence. ☺️", F, 0 1 0 0
"You keep them close to see what they're up to...😬🙊", T, 0 1 0 0
"keep the peace and love the planet bruh✌️", T, 0 0 0 0
"8-4 on a sunday looking forward to this so much 😒", T, 0 0 1 0
"NO SWEAT PANTS ALLOWED - WINE CLUB ♥ … 🌺", T, 1 0 0 0
"When I am upset or frustrated my remarks become 1,ooo,ooo,ooo x's more aggressive 😒", T, 0 0 1 0
"I had 4 slices of pizza today!! 😊😊😊", T, 1 0 0 0
"I love when people post controversial articles from unreliable sources 😅😒👎🏼", T, 0 0 1 0
"so there is still a chance for the chuck wagon right 😂", T, 1 0 0 0
"Really? Wow didn't know it was raining in LA from all the Tweets, Instagram photos, snapchats, etc ☔️", T, 0 0 0 0
"I have no aversions to having kids someday 😂😂😂", T, 1 0 0 0
"I'm so glad I pay £33.90 a week to use what with the windows letting in rain, well worth it 😐🌂☔️", T, 0 0 1 0
"Vodka mixes well with everything, except DECISIONS 😜", T, 1 0 1 0
"Cherry on top of an amazing night 😊", T, 1 0 0 0
"I never know u r taeyeon fan let me hug u 😙😙😙", T, 1 0 0 0
"reality.!! Agreed ! But fan off kar kay on karna b bhol jatay hain. And that is reality too . 😉", T, 0 0 0 0
"4 am and it's time to get ready for work and it's still drizzling outside! 😡 today should be interesting. I love working in mud!", T, 0 1 0 1
"should really go to sleep love catching the bus to school in the morning 😎😣😴", F, 0 0 1 1
"thank you for ruining my day everyday 😃", F, 0 0 1 1
"That's what I love to do n do on Twitter 😊😜😂.. Actually, I can't tolerate false criticism on boys 😆😜", F, 0 1 0 0
"He should have bought a bigger flag 😁😈", T, 1 0 0 0
"maybe should have added an emoji or to the original tweet😊", T, 1 0 0 0
"When people leave gifts for me at work.....😳🔫", F, 0 1 0 0
"Wow it's good to be back at work 😏👎🏼", F, 0 1 1 0
"I see clouds , does it mean rain ? 😂😂", T, 1 0 0 0
"Yay, another hospital gown. This one has tiny little flowers on it 😐", T, 0 0 1 0
"Well lookie here..... It's not your fault, it's in your blood 😞😒", F, 1 0 0 0
"Why go to Vegas when I have everything I need here😅😩", F, 1 0 0 0
"just so everyone knows we supply electrical goods for this prison 👌", T, 0 0 0 0
